Original Filename,Duplicate Count,Moved Filenames
"- et al. - 2024 - A Review Study on Energy Consumption in Cloud Comp.pdf",1,"- et al. - 2024 - A Review Study on Energy Consumption in Cloud Comp_1.pdf"
"2022 - CLOUD DATA SECURITY METHODS KUBERNETES VS DOCKER .pdf",1,"2022 - CLOUD DATA SECURITY METHODS KUBERNETES VS DOCKER _1.pdf"
"2022 - Distributed Cloud Computing and Mobile Cloud Compu.pdf",1,"2022 - Distributed Cloud Computing and Mobile Cloud Compu_1.pdf"
"2023 - A Compendium on Distributed Systems.pdf",1,"2023 - A Compendium on Distributed Systems_1.pdf"
"Abed - 2025 - The Techniques of authentication in the Context of.pdf",1,"Abed - 2025 - The Techniques of authentication in the Context of_1.pdf"
"Abughazalah et al. - 2024 - Centralized vs. Decentralized Cloud Computing in H.pdf",1,"Abughazalah et al. - 2024 - Centralized vs. Decentralized Cloud Computing in H_1.pdf"
"Ahmadi - 2024 - Security Implications of Edge Computing in Cloud N.pdf",1,"Ahmadi - 2024 - Security Implications of Edge Computing in Cloud N_1.pdf"
"Ahmed and Saini - 2023 - FCML-gait fog computing and machine learning insp.pdf",1,"Ahmed and Saini - 2023 - FCML-gait fog computing and machine learning insp_1.pdf"
"Ahmed M. Alwakeel and Abdulrahman K. Alnaim - 2024 - Trust Management and Resource Optimization in Edge and Fog Computing Using the CyberGuard Framework.pdf",1,"Ahmed M. Alwakeel and Abdulrahman K. Alnaim - 2024 - Trust Management and Resource Optimization in Edge and Fog Computing Using the CyberGuard Framework_1.pdf"
"Ahvar et al. - 2022 - Estimating Energy Consumption of Cloud, Fog, and E.pdf",2,"Ahvar et al. - 2022 - Estimating Energy Consumption of Cloud, Fog, and E_1.pdf|Ahvar et al. - 2022 - Estimating Energy Consumption of Cloud, Fog, and E_2.pdf"
"Aldalbahi et al. - 2022 - Clustered and Distributed Caching Methods for F-RA.pdf",1,"Aldalbahi et al. - 2022 - Clustered and Distributed Caching Methods for F-RA_1.pdf"
"Aletri et al. - 2020 - Optimum resource allocation in optical wireless sy.pdf",1,"Aletri et al. - 2020 - Optimum resource allocation in optical wireless sy_1.pdf"
"Almalki et al. - 2022 - Enabling Blockchain with IoMT Devices for Healthca.pdf",1,"Almalki et al. - 2022 - Enabling Blockchain with IoMT Devices for Healthca_1.pdf"
"Almhanna et al. - 2023 - Reducing waiting and idle time for a group of jobs.pdf",1,"Almhanna et al. - 2023 - Reducing waiting and idle time for a group of jobs_1.pdf"
"Alnaim - 2022 - Misuse Patterns from the Threat of Modification of.pdf",1,"Alnaim - 2022 - Misuse Patterns from the Threat of Modification of_1.pdf"
"Alnasir - 2022 - Distributed Computing in a Pandemic A Review of T.pdf",2,"Alnasir - 2022 - Distributed Computing in a Pandemic A Review of T_1.pdf|Alnasir - 2022 - Distributed Computing in a Pandemic A Review of T_2.pdf"
"Alzoubi et al. - 2022 - A systematic review of the purposes of Blockchain .pdf",1,"Alzoubi et al. - 2022 - A systematic review of the purposes of Blockchain _1.pdf"
"Ammendola et al. - 2013 - GPU Peer-to-Peer Techniques Applied to a Cluster I.pdf",1,"Ammendola et al. - 2013 - GPU Peer-to-Peer Techniques Applied to a Cluster I_1.pdf"
"Atlam et al. - 2018 - Fog Computing and the Internet of Things A Review.pdf",2,"Atlam et al. - 2018 - Fog Computing and the Internet of Things A Review_1.pdf|Atlam et al. - 2018 - Fog Computing and the Internet of Things A Review_2.pdf"
"Bakhsh - 2024 - Retraction note High-performance in classification of heart disease using advanced supercomputing t.pdf",1,"Bakhsh - 2024 - Retraction note High-performance in classification of heart disease using advanced supercomputing t_1.pdf"
"Berisha et al. - 2022 - Big data analytics in Cloud computing an overview.pdf",1,"Berisha et al. - 2022 - Big data analytics in Cloud computing an overview_1.pdf"
"Bin Saif et al. - 2024 - Efficient and Secure Distributed Data Storage and .pdf",1,"Bin Saif et al. - 2024 - Efficient and Secure Distributed Data Storage and _1.pdf"
"Boureima et al. - 2022 - Distributed Out-of-Memory SVD on CPUGPU Architectures.pdf",1,"Boureima et al. - 2022 - Distributed Out-of-Memory SVD on CPUGPU Architectures_1.pdf"
"Caiazza et al. - 2022 - Edge Computing vs Centralized Cloud Impact of Com.pdf",1,"Caiazza et al. - 2022 - Edge Computing vs Centralized Cloud Impact of Com_1.pdf"
"Caiza et al. - 2020 - Fog computing at industrial level, architecture, l.pdf",1,"Caiza et al. - 2020 - Fog computing at industrial level, architecture, l_1.pdf"
"Chang et al. - 2021 - Performance Evaluation of Parallel Structure from .pdf",1,"Chang et al. - 2021 - Performance Evaluation of Parallel Structure from _1.pdf"
"Cheikhrouhou et al. - 2023 - A lightweight blockchain and fog-enabled secure re.pdf",1,"Cheikhrouhou et al. - 2023 - A lightweight blockchain and fog-enabled secure re_1.pdf"
"Chen et al. - 2020 - RefineDetLite A lightweight one-stage object dete.pdf",1,"Chen et al. - 2020 - RefineDetLite A lightweight one-stage object dete_1.pdf"
"Chen et al. - 2020 - Resource Constrained Profit Optimization Method fo.pdf",1,"Chen et al. - 2020 - Resource Constrained Profit Optimization Method fo_1.pdf"
"Chimuco et al. - 2023 - Secure cloud-based mobile apps attack taxonomy, r.pdf",1,"Chimuco et al. - 2023 - Secure cloud-based mobile apps attack taxonomy, r_1.pdf"
"Colombo et al. - 2022 - Towards self-adaptive peer-to-peer monitoring for .pdf",1,"Colombo et al. - 2022 - Towards self-adaptive peer-to-peer monitoring for _1.pdf"
"Costa et al. - 2023 - Orchestration in Fog Computing A Comprehensive Su.pdf",1,"Costa et al. - 2023 - Orchestration in Fog Computing A Comprehensive Su_1.pdf"
"Daim et al. - 2024 - Monitoring cybersecurity technology through the years a technology mining approach through bibliome.pdf",1,"Daim et al. - 2024 - Monitoring cybersecurity technology through the years a technology mining approach through bibliome_1.pdf"
"David J. Kuck - 1985 - Supercomputers and distributed computing.pdf",1,"David J. Kuck - 1985 - Supercomputers and distributed computing_1.pdf"
"Debas et al. - 2023 - Unveiling the Dynamic Landscape of Malware Sandbox.pdf",1,"Debas et al. - 2023 - Unveiling the Dynamic Landscape of Malware Sandbox_1.pdf"
"Delfino - 2020 - Distributed Computing.pdf",1,"Delfino - 2020 - Distributed Computing_1.pdf"
"Desprez et al. - 2010 - Grids, P2P and Services Computing.pdf",1,"Desprez et al. - 2010 - Grids, P2P and Services Computing_1.pdf"
"Di and Wang - 2013 - Dynamic Optimization of Multiattribute Resource Al.pdf",1,"Di and Wang - 2013 - Dynamic Optimization of Multiattribute Resource Al_1.pdf"
